Home Team,Away Team,FH Goals,SH Goals,20 Min Score,Goals Scored (20),1+ More Goals By FT (20),2+ More Goals By FT (20),3+ More Goals By FT (20),1+ More Goals By HT (20),30 Min Score,Goals Scored (30),1+ More Goals By FT (30),2+ More Goals By FT (30),3+ More Goals By FT (30),1+ More Goals By HT (30),60 Min Score,Goals Scored (60),1+ More Goals By FT (60),2+ More Goals By FT (60),70 Min Score,Goals Scored (70),1+ More Goals By FT (70),2+ More Goals By FT (70),80 Min Score,Goals Scored (80),1+ More Goals By FT (80)
Arsenal,Everton,3,3,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,1,4 - 1,5,1,0,4 - 1,5,1,0,4 - 1,5,1
Brentford,Leeds,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 1,1,1,1,0 - 1,1,1,1,1 - 1,2,1
Brighton,West Ham,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,1 - 1,2,1,1,1 - 1,2,1,1,2 - 1,3,1
Burnley,Newcastle,1,2,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0,0,0 - 2,2,1,0,1 - 2,3,0,0,1 - 2,3,0
Chelsea,Watford,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 0,1,1,1,1 - 0,1,1,1,1 - 0,1,1
Crystal Palace,Man Utd,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Leicester,Southampton,0,5,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 0,1,1,1,1 - 0,1,1,1,2 - 1,3,1
Liverpool,Wolves,2,2,0 - 1,1,1,1,1,1,1 - 1,2,1,1,0,0,1 - 1,2,1,1,1 - 1,2,1,1,1 - 1,2,1
Man City,Aston Villa,1,4,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0 - 2,2,1,1,2 - 2,4,1
Norwich,Tottenham,2,3,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,0 - 2,2,1,1,0 - 4,4,1,0,0 - 5,5,0
Aston Villa,Burnley,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Chelsea,Leicester,2,0,0 - 1,1,1,0,0,1,0 - 1,1,1,0,0,1,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Everton,Crystal Palace,2,3,0 - 0,0,1,1,1,1,0 - 1,1,1,1,1,1,1 - 2,3,1,1,1 - 2,3,1,1,2 - 2,4,1
Southampton,Liverpool,2,1,1 - 0,1,1,1,0,1,1 - 1,2,1,0,0,0,1 - 1,2,1,0,1 - 2,3,0,0,1 - 2,3,0
Newcastle,Arsenal,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Everton,Brentford,3,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 1,3,1,1,2 - 3,5,0,0,2 - 3,5,0
Aston Villa,Crystal Palace,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,1 - 0,1,1,0,1 - 0,1,1
Leeds,Brighton,1,1,0 - 0,0,1,1,0,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0 - 1,1,1,0,0 - 1,1,1
Watford,Leicester,3,3,1 - 1,2,1,1,1,1,1 - 2,3,1,1,1,0,1 - 3,4,1,1,1 - 4,5,1,0,1 - 4,5,1
West Ham,Man City,2,2,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,1,2 - 1,3,1,0,2 - 2,4,0,0,2 - 2,4,0
Wolves,Norwich,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Tottenham,Burnley,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Tottenham,Arsenal,2,1,0 - 0,0,1,1,1,1,1 - 0,1,1,1,0,1,3 - 0,3,0,0,3 - 0,3,0,0,3 - 0,3,0
Wolves,Man City,4,2,1 - 2,3,1,1,1,1,1 - 3,4,1,1,0,0,1 - 4,5,1,0,1 - 4,5,1,0,1 - 4,5,1
Leicester,Norwich,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 0,1,1,1,3 - 0,3,0,0,3 - 0,3,0
Leeds,Chelsea,1,2,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0,0,0 - 2,2,1,0,0 - 2,2,1,0,0 - 2,2,1
Aston Villa,Liverpool,2,1,1 - 1,2,1,0,0,0,1 - 1,2,1,0,0,0,1 - 1,2,1,0,1 - 2,3,0,0,1 - 2,3,0
Man City,Newcastle,2,3,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 0,2,1,1,3 - 0,3,1,1,3 - 0,3,1
Arsenal,Leeds,2,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,0,0,2 - 0,2,1,0,2 - 1,3,0,0,2 - 1,3,0
Leicester,Everton,3,0,1 - 1,2,1,0,0,1,1 - 2,3,0,0,0,0,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
Norwich,West Ham,3,1,0 - 1,1,1,1,1,1,0 - 2,2,1,1,0,1,0 - 3,3,1,0,0 - 4,4,0,0,0 - 4,4,0
Liverpool,Tottenham,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 1,1,1,0,0 - 1,1,1,0,1 - 1,2,0
Brighton,Man Utd,1,3,1 - 0,1,1,1,1,0,1 - 0,1,1,1,1,0,4 - 0,4,0,0,4 - 0,4,0,0,4 - 0,4,0
Brentford,Southampton,2,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,0,0,2 - 0,2,1,0,2 - 0,2,1,0,3 - 0,3,0
Burnley,Aston Villa,2,2,0 - 1,1,1,1,1,1,0 - 1,1,1,1,1,1,0 - 3,3,1,0,0 - 3,3,1,0,0 - 3,3,1
Chelsea,Wolves,0,4,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,2 - 0,2,1,1,2 - 0,2,1,1,2 - 1,3,1
Crystal Palace,Watford,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Man Utd,Brentford,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 0,1,1,1,2 - 0,2,1,0,3 - 0,3,0
West Ham,Arsenal,2,1,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
Everton,Chelsea,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Tottenham,Leicester,1,3,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,0,2 - 0,2,1,1,2 - 0,2,1,1,3 - 0,3,1
Leeds,Man City,1,3,0 - 1,1,1,1,1,0,0 - 1,1,1,1,1,0,0 - 2,2,1,1,0 - 2,2,1,1,0 - 3,3,1
Aston Villa,Norwich,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Southampton,Crystal Palace,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 1,2,1,0,1 - 1,2,1,0,1 - 1,2,1
Watford,Burnley,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 0,1,1,1,1 - 0,1,1,1,1 - 0,1,1
Wolves,Brighton,1,2,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0 - 2,2,1,0,0 - 2,2,1
Newcastle,Liverpool,1,0,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Man Utd,Chelsea,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 1,1,1,0,1 - 1,2,0,0,1 - 1,2,0
Liverpool,Everton,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,1 - 0,1,1,0,1 - 0,1,1
Brighton,Southampton,3,1,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 2,4,0,0,2 - 2,4,0,0,2 - 2,4,0
Burnley,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,1 - 0,1,0,0,1 - 0,1,0
Chelsea,West Ham,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Man City,Watford,4,2,1 - 0,1,1,1,1,1,2 - 1,3,1,1,1,1,5 - 1,6,0,0,5 - 1,6,0,0,5 - 1,6,0
Norwich,Newcastle,2,1,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 3,3,0,0,0 - 3,3,0,0,0 - 3,3,0
Arsenal,Man Utd,3,1,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 1,3,1,0,3 - 1,4,0,0,3 - 1,4,0
Burnley,Southampton,2,0,1 - 0,1,1,0,0,1,1 - 0,1,1,0,0,1,2 - 0,2,0,0,2 - 0,2,0,0,2 - 0,2,0
Man City,Brighton,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 0,1,1,1,2 - 0,2,1,0,2 - 0,2,1
Chelsea,Arsenal,4,2,1 - 1,2,1,1,1,1,1 - 2,3,1,1,1,1,2 - 3,5,1,0,2 - 3,5,1,0,2 - 3,5,1
Everton,Leicester,1,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0 - 1,1,1,0,0 - 1,1,1
Newcastle,Crystal Palace,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Liverpool,Man Utd,2,2,1 - 0,1,1,1,1,1,2 - 0,2,1,1,0,0,2 - 0,2,1,1,3 - 0,3,1,0,3 - 0,3,1
Newcastle,Leicester,2,1,0 - 1,1,1,1,0,1,1 - 1,2,1,0,0,0,1 - 1,2,1,0,1 - 1,2,1,0,1 - 1,2,1
West Ham,Burnley,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,0 - 1,1,1,0,0 - 1,1,1,0,1 - 1,2,0
Man Utd,Norwich,3,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 2,4,1,0,2 - 2,4,1,0,3 - 2,5,0
Southampton,Arsenal,1,0,0 - 0,0,1,0,0,1,0 - 0,0,1,0,0,1,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Watford,Brentford,1,2,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0,0,1 - 1,2,1,0,1 - 1,2,1,0,1 - 1,2,1
Tottenham,Brighton,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Man City,Liverpool,3,1,1 - 1,2,1,1,0,1,1 - 1,2,1,1,0,1,2 - 2,4,0,0,2 - 2,4,0,0,2 - 2,4,0
Brentford,West Ham,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,1 - 0,1,1,0,2 - 0,2,0,0,2 - 0,2,0
Leicester,Crystal Palace,2,1,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,2 - 0,2,1,0,2 - 1,3,0,0,2 - 1,3,0
Norwich,Burnley,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Aston Villa,Tottenham,1,3,0 - 1,1,1,1,1,0,0 - 1,1,1,1,1,0,0 - 2,2,1,1,0 - 3,3,1,0,0 - 4,4,0
Arsenal,Brighton,1,2,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0 - 2,2,1,0,0 - 2,2,1
Southampton,Chelsea,4,2,0 - 2,2,1,1,1,1,0 - 3,3,1,1,1,1,0 - 6,6,0,0,0 - 6,6,0,0,0 - 6,6,0
Watford,Leeds,1,2,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0 - 1,1,1,1,0 - 2,2,1
Everton,Man Utd,1,0,0 - 0,0,1,0,0,1,1 - 0,1,0,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Newcastle,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,1 - 0,1,0
Burnley,Everton,3,2,1 - 1,2,1,1,1,1,1 - 1,2,1,1,1,1,2 - 2,4,1,0,2 - 2,4,1,0,2 - 2,4,1
Crystal Palace,Arsenal,2,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,2 - 0,2,1,0,3 - 0,3,0
Tottenham,Newcastle,2,4,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,3 - 1,4,1,1,4 - 1,5,1,0,4 - 1,5,1
West Ham,Everton,1,2,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,2 - 1,3,0,0,2 - 1,3,0,0,2 - 1,3,0
Man Utd,Leicester,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,1 - 1,2,0,0,1 - 1,2,0
Burnley,Man City,2,0,0 - 1,1,1,0,0,1,0 - 2,2,0,0,0,0,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Chelsea,Brentford,0,5,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,1 - 3,4,1,0,1 - 3,4,1,0,1 - 3,4,1
Leeds,Southampton,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 1,2,0,0,1 - 1,2,0,0,1 - 1,2,0
Wolves,Aston Villa,2,1,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,2 - 0,2,1,0,2 - 0,2,1
Liverpool,Watford,1,1,0 - 0,0,1,1,0,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,1 - 0,1,1,0,1 - 0,1,1
Tottenham,West Ham,3,1,1 - 0,1,1,1,1,1,2 - 0,2,1,1,0,1,2 - 1,3,1,0,2 - 1,3,1,0,2 - 1,3,1
Leicester,Brentford,2,1,1 - 0,1,1,1,0,1,1 - 0,1,1,1,0,1,2 - 0,2,1,0,2 - 0,2,1,0,2 - 0,2,1
Aston Villa,Arsenal,1,0,0 - 0,0,1,0,0,1,0 - 1,1,0,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Wolves,Leeds,2,3,0 - 0,0,1,1,1,1,1 - 0,1,1,1,1,1,2 - 0,2,1,1,2 - 2,4,1,0,2 - 2,4,1
Everton,Newcastle,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Arsenal,Liverpool,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 1,1,1,0,0 - 2,2,0,0,0 - 2,2,0
Brighton,Tottenham,1,1,0 - 0,0,1,1,0,1,0 - 0,0,1,1,0,1,0 - 2,2,0,0,0 - 2,2,0,0,0 - 2,2,0
Arsenal,Leicester,1,1,1 - 0,1,1,0,0,0,1 - 0,1,1,0,0,0,2 - 0,2,0,0,2 - 0,2,0,0,2 - 0,2,0
Chelsea,Newcastle,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0 - 0,0,1,0,0 - 0,0,1
Everton,Wolves,0,1,0 - 0,0,1,0,0,0,0 - 0,0,1,0,0,0,0 - 1,1,0,0,0 - 1,1,0,0,0 - 1,1,0
Leeds,Norwich,1,2,1 - 0,1,1,1,0,0,1 - 0,1,1,1,0,0,1 - 0,1,1,1,1 - 0,1,1,1,1 - 0,1,1
Southampton,Watford,3,0,0 - 1,1,1,1,0,1,0 - 1,1,1,1,0,1,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
West Ham,Aston Villa,0,3,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1 - 0,1,1,1,1 - 0,1,1
Man Utd,Tottenham,3,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,2 - 1,3,1,1,2 - 1,3,1,1,2 - 2,4,1
Brentford,Burnley,0,2,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0,0,0 - 0,0,1,1,0 - 0,0,1,1,0 - 0,0,1
Brighton,Liverpool,1,1,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0,0,0 - 1,1,1,0,0 - 2,2,0,0,0 - 2,2,0
Leeds,Aston Villa,1,2,0 - 0,0,1,1,1,1,0 - 1,1,1,1,0,0,0 - 1,1,1,1,0 - 2,2,1,0,0 - 3,3,0
Norwich,Chelsea,2,2,0 - 2,2,1,1,0,0,0 - 2,2,1,1,0,0,0 - 2,2,1,1,1 - 2,3,1,0,1 - 2,3,1
Southampton,Newcastle,2,1,0 - 0,0,1,1,1,1,1 - 0,1,1,1,0,1,1 - 2,3,0,0,1 - 2,3,0,0,1 - 2,3,0
Wolves,Watford,3,1,2 - 0,2,1,1,0,1,3 - 0,3,1,0,0,0,3 - 0,3,1,0,3 - 0,3,1,0,3 - 0,3,1
Tottenham,Everton,3,2,2 - 0,2,1,1,1,1,2 - 0,2,1,1,1,1,5 - 0,5,0,0,5 - 0,5,0,0,5 - 0,5,0
Man City,Man Utd,3,2,1 - 0,1,1,1,1,1,2 - 1,3,1,1,0,0,2 - 1,3,1,1,3 - 1,4,1,0,3 - 1,4,1
Watford,Arsenal,3,2,1 - 1,2,1,1,1,1,1 - 2,3,1,1,0,0,1 - 3,4,1,0,1 - 3,4,1,0,1 - 3,4,1
Liverpool,West Ham,1,0,0 - 0,0,1,0,0,1,1 - 0,1,0,0,0,0,1 - 0,1,0,0,1 - 0,1,0,0,1 - 0,1,0
Aston Villa,Southampton,2,2,1 - 0,1,1,1,1,1,1 - 0,1,1,1,1,1,4 - 0,4,0,0,4 - 0,4,0,0,4 - 0,4,0
Burnley,Chelsea,0,4,0 - 0,0,1,1,1,0,0 - 0,0,1,1,1,0,0 - 3,3,1,0,0 - 4,4,0,0,0 - 4,4,0
Newcastle,Brighton,2,1,2 - 0,2,1,0,0,0,2 - 0,2,1,0,0,0,2 - 1,3,0,0,2 - 1,3,0,0,2 - 1,3,0
Norwich,Brentford,1,3,0 - 0,0,1,1,1,1,0 - 0,0,1,1,1,1,0 - 3,3,1,0,0 - 3,3,1,0,0 - 3,3,1
